hostel.name,City,price.from,Distance,summary.score,rating.band,atmosphere,cleanliness,facilities,location.y,security,staff,valueformoney,lon,lat
O-yado Sato,Kyoto,3900,2.3km from city centre,9.1,Superb,9,10,9,8,10,9,9,135.75571,34.994214
Santiago Guesthouse Kyoto,Kyoto,1300,2km from city centre,8.8,Fabulous,8.4,9.3,8.7,8.5,8.7,9.2,8.8,135.775802,34.994416
Guest House Shiori Ann,Kyoto,1500,2km from city centre,8.9,Fabulous,6,8,10,9,10,9,10,135.759117,34.994889
Guest House Renjishi Kabuki,Kyoto,1500,2.5km from city centre,8.7,Fabulous,8,8.9,7.9,8.7,9,9.8,8.6,135.7505144,34.9949044
Jiyujin,Kyoto,2600,2km from city centre,9.7,Superb,9,10,9.8,9.5,10,9.7,9.7,135.76116,34.9949965
Gojo Guest House,Kyoto,2000,1.9km from city centre,9.5,Superb,9.6,9.5,8.8,9.6,9.3,10,9.8,135.7722097,34.9954879
Imano Kyoto Kiyomizu Hostel,Kyoto,2200,1.9km from city centre,9.2,Superb,8.6,9.8,9.3,9.1,9.4,9.2,9.3,135.776144,34.995592
Peace House Sakura,Kyoto,1300,1.8km from city centre,6.3,Good,6.8,5.8,5.3,6.5,6.3,6.8,7,135.773323,34.995831
You En Me House,Kyoto,2800,2.4km from city centre,8,Fabulous,7.3,8,6.7,8,8.7,10,7.3,135.749063,34.997376
Guest House Yahata,Kyoto,2500,2km from city centre,8.6,Fabulous,7.5,9.5,8.5,8,9.8,8.5,8.5,135.754772,34.9976055
R.Star Hostel Kyoto,Kyoto,2400,1.8km from city centre,9.6,Superb,8.7,10,9.7,9.3,9.8,9.9,9.8,135.758374,34.997989
Gojo Guesthouse - Annex,Kyoto,2500,1.7km from city centre,9.6,Superb,8.7,10,9.3,9.3,10,10,10,135.775803,34.998209
Len Kyoto,Kyoto,2500,1.4km from city centre,9.6,Superb,9.6,9.6,9.7,9.7,9.6,9.8,9.5,135.7673713,34.998732
Friends Kyo,Kyoto,2200,1.2km from city centre,10,Superb,10,10,10,10,10,10,10,135.7718,35.001371
Gion Ryokan Q-beh,Kyoto,2800,1.5km from city centre,9.5,Superb,9,9.8,9.5,9.8,9.3,9.5,9.6,135.7795363,35.0014418
Centurion Cabin & Spa Kyoto,Kyoto,2500,1.1km from city centre,8.9,Fabulous,7.9,9.6,9.1,9.6,8.9,8.5,8.6,135.761618,35.003533
Book and Bed Tokyo - Kyoto,Kyoto,3800,0.9km from city centre,9.1,Superb,9,10,8.5,9.5,8.5,10,8,135.7727965,35.0041178
Grids Kyoto Shijo Kawaramachi Hotel & Hostel,Kyoto,1800,1km from city centre,9.7,Superb,8.9,10,9.5,10,10,9.8,9.8,135.764823,35.004678
Jam Hostel Kyoto Gion,Kyoto,1500,0.9km from city centre,7.7,Very Good,7,8,7,9.4,8,6.9,7.9,135.772379,35.004919
Hostel Ebi,Kyoto,2500,1km from city centre,9.7,Superb,9.4,9.9,9.5,9.8,9.7,9.8,9.6,135.760511,35.0050582
Downtown Inn Kyoto,Kyoto,1000,1.4km from city centre,9.3,Superb,8.9,9.7,9.7,9.1,9.1,8.6,9.7,135.755182,35.0052769
Comics & CapsuleHotel COMICAP kyotoshinkyogoku,Kyoto,2000,0.7km from city centre,9.6,Superb,9.1,9.8,9.8,9.8,9.4,9.3,9.7,135.7676061,35.0053862
The Millennials Kyoto,Kyoto,2700,0.5km from city centre,9.6,Superb,9.3,9.8,9.8,9.9,9.6,9.4,9.5,135.7688947,35.0075126
Piece Hostel Sanjo,Kyoto,2900,0.5km from city centre,9.6,Superb,9.1,9.8,9.7,9.6,9.8,9.9,9.6,135.764655,35.008028
OKI's Inn,Kyoto,2500,1.1km from city centre,9.4,Superb,8.8,9.6,9.2,10,8.8,10,9.2,135.7789591,35.0086338
Hostel HARUYA Kyoto,Kyoto,1500,1km from city centre,9.6,Superb,8,10,10,10,10,10,9,135.778964,35.008755
The Prime Pod Kyoto,Kyoto,2500,0.4km from city centre,9.8,Superb,9.4,10,10,9.6,9.9,9.9,9.6,135.7702541,35.0090836
Guest House Ga-Jyun,Kyoto,2000,1.4km from city centre,9.6,Superb,9.6,9.7,9.4,9.4,9.4,9.9,9.9,135.7833531,35.009131
Kyoto Guesthouse Roujiya,Kyoto,3500,2.1km from city centre,8.1,Fabulous,7.8,9,7.4,8,8.6,8.8,7.4,135.74531,35.009207
Guest House Hitsuji-An,Kyoto,2200,1.3km from city centre,9.8,Superb,9.5,10,9.5,10,10,10,9.5,135.75435,35.009679
Guest House YULULU,Kyoto,1500,0.5km from city centre,8.6,Fabulous,8.3,8.6,7.8,9.5,8.5,9.4,8.3,135.7626322,35.0098862
Capsule Resort Kyoto Square,Kyoto,3100,1.3km from city centre,9.6,Superb,9.1,10,9.6,10,9.8,9.8,9.1,135.7535562,35.0112333
Tabetoma Nijo Castle,Kyoto,1500,1.3km from city centre,8.8,Fabulous,8.5,9.3,8.6,8.9,9,9,8.7,135.748218,35.0142299
Guest House Bola-Bola,Kyoto,2700,6.1km from city centre,9.4,Superb,9.3,9.9,9,8.8,9.4,9.9,9.4,135.7015683,35.0147747
Hostel Mundo Chiquito,Kyoto,1400,1.4km from city centre,9.5,Superb,9,9.8,9.3,9,9.8,10,9.8,135.753339,35.015514
Kyoto Morris Hostel,Kyoto,2800,0.5km from city centre,9.7,Superb,9.4,9.9,9.9,9.3,9.8,9.8,9.8,135.7678365,35.0156844
Bird Hostel,Kyoto,2700,1.1km from city centre,9.3,Superb,8.9,9.5,9.5,9.4,9.2,9.5,9.4,135.7587254,35.0175416
Suzuki Guesthouse,Kyoto,1600,2.2km from city centre,9.1,Superb,8.6,9.6,8.7,8.4,9.8,9.6,8.9,135.7451539,35.0176229
Hostel Mundo,Kyoto,1400,2.1km from city centre,8.4,Fabulous,8,8.6,8,8,8.7,8.9,8.8,135.7479461,35.0204264
HOSTEL WASABI Kyoto Machiya Soba,Kyoto,2000,2.3km from city centre,9.1,Superb,8.9,9.8,9.1,7.9,9,9.2,9.4,135.7481084,35.0249099
Kyoto UTANO Youth Hostel,Kyoto,3400,6.4km from city centre,9.3,Superb,9,10,9.5,7,10,10,9.5,135.699365,35.0269847
Hostel Ginkakuji,Kyoto,1300,2.7km from city centre,4.9,Rating,2,10,6,6,2,2,6,135.791229,35.027017
Small World Guesthouse in Kyoto,Kyoto,1600,3.9km from city centre,8.1,Fabulous,8.5,8.9,8,7.8,6.9,7.1,9.1,135.7512884,35.0435832
Hotel&Hostel On the Marks Tokyo Kawasaki,Tokyo,1900,18.1km from city centre,9.6,Superb,9.6,10,9.6,8.7,9.9,9.9,9.6,139.6985808,35.5269926
328 Hostel & Lounge,Tokyo,3300,16.5km from city centre,9.3,Superb,8.7,9.7,9.3,9.1,9.3,9.7,8.9,139.7454672,35.5480439
Beagle Tokyo Hostel & Apartments,Tokyo,3800,16.1km from city centre,9,Superb,8,10,9,8,9,9,10,139.7410778,35.5504924
Guesthouse Sensu,Tokyo,3300,15.7km from city centre,9.3,Superb,8,10,9.5,9,9,10,9.5,139.7405231,35.553499
